Company,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
petro-china,,$387.63 B,$392.69 B,$381.48 B,$391.21 B,$353.67 B,$369.61 B,$345.14 B,$369.35 B,$388.48 B,$387.01 B,$347.86 B,$305.10 B,$250.51 B,$212.32 B,$175.27 B,$145.35 B,$111.51 B,$96.46 B,$73.78 B,$64.32 B,$58.35 B,$54.04 B
comcast,,$257.27 B,$275.90 B,$273.86 B,$263.41 B,$251.68 B,$186.94 B,$180.50 B,$166.57 B,$159.33 B,$158.81 B,$164.97 B,$157.81 B,$118.53 B,$112.73 B,$113.01 B,$113.41 B,$110.40 B,$103.14 B,$104.69 B,$109.15 B,$113.10 B,$38.13 B
wells-fargo,,$1.881 T,$1.948 T,$1.955 T,$1.927 T,$1.895 T,$1.951 T,$1.930 T,$1.787 T,$1.687 T,$1.527 T,$1.422 T,$1.313 T,$1.258 T,$1.243 T,$1.309 T,$575.44 B,$481.99 B,$481.74 B,$427.84 B,$387.79 B,$349.25 B,$307.56 B
pfizer,,$197.20 B,$181.47 B,$154.22 B,$167.48 B,$159.42 B,$171.79 B,$171.61 B,$167.46 B,$169.27 B,$172.10 B,$185.79 B,$188.00 B,$195.01 B,$212.94 B,$111.14 B,$115.26 B,$114.83 B,$117.56 B,$123.68 B,$116.77 B,$46.35 B,$39.15 B
danaher,,$84.35 B,$83.18 B,$76.16 B,$62.08 B,$47.83 B,$46.64 B,$45.29 B,$48.22 B,$36.99 B,$34.67 B,$32.94 B,$29.94 B,$22.21 B,$19.59 B,$17.45 B,$17.47 B,$12.86 B,$9.16 B,$8.49 B,$6.89 B,$6.02 B,$4.82 B
hdfc-bank,$313.70 B,$278.44 B,$245.01 B,$202.98 B,$191.27 B,$169.44 B,$137.72 B,$106.80 B,$97.12 B,$82.15 B,$73.75 B,$70.20 B,$65.46 B,$53.94 B,$39.79 B,$37.78 B,$23.52 B,$17.79 B,$12.15 B,$9.84 B,$3.72 B,$2.90 B,$1.93 B
verizon,,$379.68 B,$366.59 B,$316.48 B,$291.72 B,$264.82 B,$257.14 B,$244.18 B,$244.64 B,$232.70 B,$274.09 B,$225.22 B,$230.46 B,$220.00 B,$227.25 B,$202.35 B,$186.95 B,$188.80 B,$168.13 B,$165.95 B,$165.96 B,$167.46 B,$170.79 B
tata-consultancy-services,$17.49 B,$18.66 B,$17.80 B,$16.03 B,$16.55 B,$16.32 B,$15.93 B,$13.46 B,$11.78 B,$11.21 B,$9.62 B,$8.13 B,$7.34 B,$6.11 B,$4.45 B,$4.40 B,$3.05 B,$1.93 B,$1.21 B,,,,
intuit,$27.78 B,$27.73 B,$15.51 B,$10.93 B,$6.28 B,$5.17 B,$4.06 B,$4.25 B,$4.96 B,$5.20 B,$5.48 B,$4.68 B,$5.11 B,$5.19 B,$4.82 B,$4.66 B,$4.25 B,$2.77 B,$2.71 B,$2.69 B,$2.79 B,$2.96 B,$2.96 B
bhp-group,$101.29 B,$95.16 B,$108.92 B,$104.78 B,$100.86 B,$111.99 B,$117.00 B,$118.95 B,$124.58 B,$151.41 B,$138.10 B,$129.27 B,$102.89 B,$88.85 B,$78.77 B,$75.88 B,$58.16 B,$48.51 B,$47.64 B,$36.67 B,$35.00 B,$29.55 B,$14.88 B
totalenergies,,$303.86 B,$293.45 B,$266.13 B,$273.29 B,$256.76 B,$242.63 B,$230.97 B,$224.48 B,$229.79 B,$239.56 B,$227.24 B,$212.62 B,$191.13 B,$183.03 B,$164.69 B,$165.80 B,$138.87 B,$125.62 B,$114.00 B,$100.52 B,$89.62 B,$78.96 B
hsbc,,$2.966 T,$2.957 T,$2.984 T,$2.715 T,$2.558 T,$2.521 T,$2.374 T,$2.409 T,$2.634 T,$2.671 T,$2.692 T,$2.555 T,$2.454 T,$2.364 T,$2.527 T,$2.354 T,$1.860 T,$1.501 T,$1.279 T,$1.034 T,$759.62 B,$694.73 B
qualcomm,$51.04 B,$49.01 B,$41.24 B,$35.59 B,$32.95 B,$32.68 B,$65.48 B,$52.35 B,$50.79 B,$48.57 B,$45.51 B,$43.01 B,$36.42 B,$30.57 B,$27.44 B,$24.56 B,$18.49 B,$15.20 B,$12.47 B,$10.82 B,$8.82 B,$6.50 B,$5.74 B
ibm,,$127.24 B,$132.00 B,$155.97 B,$152.18 B,$123.38 B,$125.35 B,$117.47 B,$110.49 B,$117.53 B,$126.22 B,$119.21 B,$116.43 B,$113.45 B,$109.02 B,$109.52 B,$120.43 B,$103.23 B,$105.74 B,$109.18 B,$104.45 B,$96.48 B,$88.31 B
china-construction-bank,,$5.017 T,$4.747 T,$4.313 T,$3.641 T,$3.376 T,$3.400 T,$3.019 T,$2.831 T,$2.704 T,$2.538 T,$2.241 T,$1.954 T,$1.634 T,$1.408 T,$1.108 T,$904.59 B,$697.99 B,$568.37 B,$472.98 B,$429.94 B,$372.50 B,$332.54 B
