Company,2023 (TTM),2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
wells-fargo,$4.67,$3.22,$5.01,$0.48,$4.06,$4.47,$4.11,$4.03,$4.21,$4.17,$3.95,$3.40,$2.85,$2.23,$1.78,$0.84,$2.41,$2.50,$2.27,$2.07,$1.84,$1.60,$1.00
pfizer,$1.86,$5.60,$3.91,$1.60,$2.92,$1.89,$3.58,$1.17,$1.13,$1.44,$3.17,$1.97,$1.28,$1.03,$1.24,$1.20,$1.17,$2.67,$1.10,$1.52,$0.64,$1.48,$1.25
danaher,$8.02,$9.79,$8.77,$4.97,$4.10,$3.78,$3.58,$3.70,$4.83,$3.70,$3.88,$3.45,$3.21,$2.74,$1.79,$2.06,$2.20,$1.82,$1.45,$1.20,$0.88,$0.47,$0.52
hdfc-bank,$2.97,$2.22,$2.00,$1.67,$1.45,$1.18,$1.09,$0.99,$0.65,$0.58,$0.64,$0.47,$0.29,$0.23,$0.27,$0.23,$0.19,$0.20,$0.05507,$0.04576,,,
verizon,$4.96,$5.06,$5.33,$4.30,$4.66,$3.77,$7.38,$3.22,$4.38,$2.52,$4.01,$0.31,$0.86,$1.45,$1.28,-$0.77,$1.91,$2.13,$2.67,$2.83,$1.12,$1.49,$0.13
tata-consultancy-services,$1.48,$1.39,$1.37,$1.12,$1.23,$1.15,$1.02,$0.98,$0.85,$0.90,$0.74,$0.63,,,,,,,,,,,
intuit,$8.50,$6.64,$7.66,$7.52,$6.08,$5.66,$3.89,$3.81,$1.52,$2.91,$2.92,$2.84,$2.13,$1.82,$1.35,$1.38,$1.40,$1.17,$1.03,$0.84,$0.84,$0.42,-$0.34
bhp-group,$12.21,$4.47,$3.15,$3.21,$1.39,$2.21,-$2.40,$0.72,$5.20,$4.22,$5.81,$8.58,$4.57,$2.11,$5.51,$4.59,$3.46,$2.09,$0.88,$0.50,$0.42,$0.48,
totalenergies,$7.89,$7.90,$5.95,-$2.91,$4.21,$4.26,$3.36,$2.52,$2.18,$1.87,$4.95,$6.16,$8.15,$6.08,$5.32,$7.22,$8.28,$6.68,$6.33,$6.22,$3.41,$2.28,$2.91
hsbc,$6.95,$3.70,$3.10,$0.99,$1.52,$3.13,$2.43,$0.35,$3.30,$3.45,$4.20,$3.70,$4.60,$1.63,$7.51,$6.52,$6.15,$281.47,$3.64,$1.41,$2.67,,
qualcomm,$6.47,$10.48,$8.85,$5.94,$3.55,$1.56,-$2.84,$3.30,$3.06,$4.81,$3.98,$3.88,$2.68,$2.20,$1.25,$1.68,$2.07,$1.50,$1.37,$1.14,$0.58,$0.30,-$0.16
ibm,$7.62,$1.81,$6.41,$6.27,$10.64,$9.57,$6.14,$12.44,$13.50,$12.00,$15.12,$14.58,$13.29,$11.75,$10.14,$9.03,$7.29,$6.20,$4.96,$4.47,$3.82,$2.10,$3.73
china-construction-bank,$0.19,$0.19,$0.18,$0.15,$0.15,$0.15,$0.14,$0.14,$0.14,$0.15,$0.14,$0.12,$0.10,$0.19,$0.06680,$0.05803,,,,,,,
bank-of-china,$0.10,$0.11,$0.11,$0.08867,$0.08846,$0.08919,$0.08311,$0.07978,$0.08896,$0.09861,$0.09140,$0.07945,$0.07002,$0.05802,$0.04543,$0.03512,$0.02827,$0.02200,,,,,
boeing,-$4.70,-$8.29,-$7.13,-$20.75,-$1.14,$18.07,$13.78,$7.75,$7.52,$7.49,$6.04,$5.16,$5.40,$4.49,$1.85,$3.69,$5.38,$2.88,$3.27,$2.32,$0.90,$0.62,$3.45
amgen,$14.15,$12.18,$10.36,$12.39,$12.95,$12.69,$2.63,$10.32,$9.16,$6.79,$6.74,$5.60,$4.06,$4.82,$4.53,$3.78,$2.80,$2.50,$2.96,$1.86,$1.74,-$0.92,$1.06
servicenow,$7.78,$1.61,$1.17,$0.62,$3.32,-$0.15,-$0.87,-$2.78,-$1.27,-$1.23,-$0.54,-$0.74,,,,,,,,,,,
texas-instruments,$7.83,$9.52,$8.42,$6.08,$5.36,$5.75,$3.71,$3.46,$2.91,$2.63,$1.93,$1.52,$1.91,$2.66,$1.15,$1.46,$1.88,$2.85,$1.42,$1.08,$0.62,-$0.20,-$0.12
prosus,$12.43,$4.59,$2.32,$3.01,$9.66,$2.19,,,,,,,,,,,,,,,,,
philip-morris,$5.15,$5.82,$5.83,$5.17,$4.62,$5.08,$3.87,$4.48,$4.42,$4.76,$5.26,$5.18,$4.85,$3.93,$3.26,$3.32,$2.86,$2.91,,,,,
union-pacific-corporation,$10.43,$11.23,$9.99,$7.89,$8.42,$7.96,$13.56,$5.09,$5.51,$5.78,$4.74,$4.17,$3.40,$2.80,$1.88,$2.29,$1.75,$1.49,$0.97,$0.58,$1.56,$1.33,$0.98
siemens,$11.86,$4.60,$9.32,$6.33,$7.24,$6.77,$8.79,$7.98,$10.35,$7.80,$7.14,$6.11,$9.13,$6.16,$4.02,$1.31,$14.87,$4.25,$2.94,$5.21,$3.55,$3.15,$1.93
dior,$31.04,$13.19,$18.25,$16.36,$15.10,$9.74,$14.92,$10.87,$10.48,N/A,$9.25,$9.39,$5.59,$6.24,$7.21,$5.94,$4.11,$4.19,$2.10,$1.07,-$0.57,,
ups,$11.57,$13.26,$14.75,$1.66,$5.14,$5.52,$5.63,$3.87,$5.39,$3.31,$4.66,$0.83,$3.86,$3.37,$2.16,$2.96,$0.36,$3.87,$3.47,$2.95,$2.57,$2.85,$2.17
morgan-stanley,$5.64,$6.21,$8.16,$6.52,$5.26,$4.80,$3.15,$2.99,$2.96,$3.02,$1.44,-$0.06000,$1.07,$2.62,-$0.92,$1.45,$2.96,$7.38,$4.69,$4.16,$3.31,$2.76,$3.22
conocophillips,$9.16,$14.56,$6.07,-$2.50,$6.43,$5.37,-$0.64,-$2.91,-$3.58,$5.55,$7.42,$6.74,$9.03,$7.68,$2.96,-$10.72,$7.31,$9.76,$9.72,$5.88,$3.50,-$0.26,$2.81
caterpillar,$17.75,$12.73,$11.94,$5.50,$10.83,$10.36,$1.30,-$0.12,$4.19,$5.98,$5.87,$8.71,$7.63,$4.27,$1.44,$5.83,$5.55,$5.37,$4.21,$2.98,$1.59,$1.16,$1.17
sp-global,$7.75,$10.54,$12.56,$9.71,$8.65,$7.80,$5.82,$8.02,$4.25,-$0.42,$4.97,$1.56,$3.06,$2.69,$2.35,$2.54,$3.03,$2.49,$2.25,$2.00,$1.81,$1.50,$0.98
general-electric,$8.55,-$0.29,-$6.16,$4.67,-$4.96,-$20.96,-$5.68,$7.28,-$4.72,$12.08,$10.96,$12.96,$9.92,$8.40,$8.08,$13.76,$17.36,$16.00,$12.64,$13.20,$12.16,$11.36,$11.04
honeywell,$8.14,$7.34,$8.00,$6.79,$8.52,$9.11,$2.14,$6.29,$6.11,$5.41,$4.99,$3.74,$2.64,$2.60,$2.06,$3.79,$3.20,$2.53,$1.93,$1.45,$1.52,-$0.26,-$0.12
royal-bank-of-canada,$7.70,$8.52,$8.87,$5.85,$6.63,$6.54,$5.84,$5.14,$5.31,$5.45,$5.40,$4.98,$4.36,$3.38,$2.32,$3.23,$3.95,$3.24,$2.12,$1.61,$1.64,$1.52,$1.34
uber,-$0.20,-$4.66,-$0.27,-$3.88,-$6.64,-$0.73,,,,,,,,,,,,,,,,,
inditex,$0.76,$0.64,$0.56,$0.29,$0.67,$0.66,$0.60,$0.54,$0.51,$0.51,$0.51,$0.47,$0.42,$0.30,$0.27,,,,,,,,
anheuser-busch-inbev,$3.12,$2.96,$3.56,$0.68,$4.64,$2.22,$4.05,$0.72,$5.05,$5.64,$8.91,$3.92,$3.62,$2.09,,,,,,,,,
applied-materials,$7.62,$7.49,$6.48,$3.95,$2.89,$3.31,$3.19,$1.57,$1.13,$0.92,$0.21,$0.06000,$1.46,$0.70,-$0.23,$0.70,$1.23,$0.98,$0.75,$0.80,-$0.09000,$0.16,$0.32
american-express,$10.68,$9.85,$10.01,$3.77,$8.01,$7.93,$2.91,$5.65,$5.05,$5.59,$4.91,$3.90,$4.15,$3.37,$1.54,$2.32,$3.40,$3.06,$3.03,$2.73,$2.32,$2.03,$0.99
nextera-energy,$3.78,$2.10,$1.82,$1.49,$1.95,$3.51,$2.86,$1.55,$1.52,$1.41,$1.12,$1.11,$0.98,$1.19,$0.99,$1.02,$0.83,$0.81,$0.59,$0.26,$0.32,$0.07875,$0.25
att,-$1.53,-$1.14,$2.77,-$0.76,$1.90,$2.87,$4.76,$2.10,$2.37,$1.21,$3.41,$1.22,$0.66,$3.36,$2.12,$2.18,$1.95,$1.89,$1.42,$1.78,$2.56,$1.69,$2.09
deutsche-telekom,$4.29,$1.77,$1.06,$1.03,$0.91,$0.54,$0.87,$0.69,$0.78,$0.89,$0.26,-$1.58,$0.21,$0.52,$0.15,$0.53,$0.16,$0.93,$1.60,$0.42,$0.32,-$6.38,-$1.03
airbus,$5.23,$5.77,$6.23,-$1.46,-$1.97,$4.56,$3.53,$1.50,$3.78,$3.88,$2.46,$1.87,$1.61,$0.91,-$1.38,,,,,,,,
