Company,2023 (TTM),2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
intuit,$14.74 B,$13.31 B,$10.31 B,$7.83 B,$6.93 B,$6.09 B,$5.28 B,$4.75 B,$4.41 B,$4.55 B,$4.40 B,$4.26 B,$3.91 B,$3.51 B,$3.19 B,$3.11 B,$2.75 B,$2.40 B,$2.07 B,$1.89 B,$1.61 B,$1.37 B,$1.28 B
bhp-group,$53.81 B,$65.09 B,$56.92 B,$42.93 B,$44.28 B,$43.63 B,$38.28 B,$30.91 B,$44.63 B,$56.76 B,$65.96 B,$72.22 B,$71.73 B,$52.79 B,$50.21 B,$59.47 B,$39.49 B,$32.15 B,$29.58 B,$22.88 B,$15.60 B,$14.69 B,$11.46 B
totalenergies,$228.13 B,$263.31 B,$184.63 B,$119.70 B,$176.24 B,$184.10 B,$149.09 B,$127.92 B,$143.42 B,$212.01 B,$227.91 B,$237.35 B,$229.39 B,$180.91 B,$158.10 B,$237.13 B,$194.42 B,$175.44 B,$172.12 B,$165.13 B,$129.04 B,$104.82 B,$94.15 B
hsbc,$73.41 B,$61.49 B,$63.66 B,$62.88 B,$69.88 B,$64.00 B,$64.08 B,$57.81 B,$72.55 B,$71.78 B,$78.41 B,$75.52 B,$83.46 B,,,,,,,,,,
qualcomm,$35.82 B,$42.95 B,$36.03 B,$26.69 B,$24.50 B,$21.50 B,$22.36 B,$23.77 B,$23.95 B,$26.96 B,$25.47 B,$20.45 B,$16.29 B,$11.66 B,$10.56 B,$11.21 B,$9.29 B,$7.80 B,$6.02 B,$5.06 B,$4.11 B,$3.43 B,$2.69 B
ibm,$61.17 B,$60.53 B,$70.78 B,$73.61 B,$77.14 B,$79.59 B,$79.14 B,$79.91 B,$81.74 B,$93.35 B,$99.75 B,$104.50 B,$106.91 B,$99.87 B,$95.75 B,$102.34 B,$98.78 B,$91.42 B,$91.13 B,$96.29 B,$89.13 B,$81.70 B,$85.86 B
china-construction-bank,$110.69 B,$121.97 B,$127.14 B,$109.77 B,$102.01 B,$99.21 B,$92.59 B,$91.00 B,$95.98 B,$92.18 B,$83.02 B,$73.22 B,$61.86 B,$48.17 B,$39.15 B,$38.92 B,,,,,,,
bank-of-china,$88.12 B,$91.47 B,$93.37 B,$82.23 B,$79.24 B,$75.44 B,$71.84 B,$72.44 B,$74.86 B,$73.55 B,$66.33 B,$58.10 B,$51.03 B,$41.06 B,$33.90 B,$33.11 B,$24.02 B,$17.21 B,,,,,
boeing,$75.75 B,$66.60 B,$62.28 B,$58.15 B,$76.55 B,$101.12 B,$93.39 B,$94.57 B,$96.11 B,$90.76 B,$86.62 B,$81.69 B,$68.73 B,$64.30 B,$68.28 B,$60.90 B,$66.38 B,$61.53 B,$54.84 B,$52.51 B,$50.48 B,$54.06 B,$58.19 B
amgen,$26.83 B,$26.32 B,$25.97 B,$25.42 B,$23.36 B,$23.74 B,$22.84 B,$22.99 B,$21.66 B,$20.06 B,$18.67 B,$17.26 B,$15.58 B,$15.05 B,$14.64 B,$15.00 B,$14.77 B,$14.26 B,$12.43 B,$10.54 B,$8.35 B,$5.44 B,$4.01 B
servicenow,$8.47 B,$7.24 B,$5.89 B,$4.51 B,$3.46 B,$2.60 B,$1.93 B,$1.39 B,$1.00 B,$0.68 B,$0.42 B,$0.24 B,,,,,,,,,,,
texas-instruments,$18.11 B,$20.02 B,$18.34 B,$14.46 B,$14.38 B,$15.78 B,$14.96 B,$13.37 B,$13.00 B,$13.04 B,$12.20 B,$12.82 B,$13.73 B,$13.96 B,$10.42 B,$12.50 B,$13.83 B,$14.25 B,$13.39 B,$12.58 B,$9.83 B,$8.38 B,$8.20 B
prosus,$5.76 B,$6.86 B,$5.11 B,$3.33 B,$2.65 B,$2.30 B,$1.83 B,,,,,,,,,,,,,,,,
philip-morris,$34.27 B,$31.76 B,$31.40 B,$28.69 B,$29.80 B,$29.62 B,$28.74 B,$26.68 B,$26.79 B,$29.76 B,$31.21 B,$31.37 B,$31.09 B,$27.20 B,$25.03 B,$25.70 B,$22.79 B,$48.26 B,,,,,
union-pacific-corporation,$24.14 B,$24.87 B,$21.80 B,$19.53 B,$21.70 B,$22.83 B,$21.24 B,$19.94 B,$21.81 B,$23.98 B,$21.96 B,$20.92 B,$19.55 B,$16.96 B,$14.14 B,$17.97 B,$16.28 B,$15.57 B,$13.57 B,$12.21 B,$12.26 B,$12.49 B,$11.97 B
siemens,$81.27 B,$77.25 B,$75.25 B,$59.30 B,$88.35 B,$97.95 B,$96.13 B,$88.32 B,$85.35 B,$94.91 B,$100.60 B,$102.28 B,$101.70 B,$102.91 B,$104.61 B,$116.75 B,$99.85 B,$108.81 B,$96.91 B,$94.64 B,$87.29 B,$88.86 B,$94.90 B
dior,$84.80 B,$72.72 B,$54.91 B,$60.12 B,$53.56 B,$52.42 B,$42.25 B,$39.37 B,$42.27 B,$39.13 B,$31.91 B,$28.09 B,$25.42 B,$25.07 B,$25.17 B,$21.17 B,$17.20 B,$17.71 B,$15.69 B,$14.28 B,$13.62 B,,
ups,$96.17 B,$100.33 B,$97.28 B,$84.62 B,$74.09 B,$71.86 B,$65.87 B,$60.90 B,$58.36 B,$58.23 B,$55.43 B,$54.12 B,$53.10 B,$49.54 B,$45.29 B,$51.48 B,$49.69 B,$47.54 B,$42.58 B,$36.58 B,$33.48 B,$31.27 B,$30.64 B
